specific_dialogue_content,interaction_strategy,call_type,is_fraud,fraud_type
"音频内容：

left: 喂，你好，我是出租车司机，你准备好出发了？
right: 喂，你好，我刚到那个门口就可以出发了。
left: 好的，我马上就到你那里，大概需要10分钟。
right: 行，我在门口等你。不过今天天气有点冷，你路上注意安全。
left: 谢谢你的提醒，我会注意的，你穿暖和点的话，别着凉了。
right: 我要去对我要去火车站，你知道路吗？
left: 直到从这里出发，沿着这个主干道直走，然后过了两个红绿灯左转，然后一直走到火车站。
right: 好的，听起来不复杂，路上可能有点堵，你能开快点吗？
left: 我会尽量快，但安全第一，然后不能超损。您放心，我会就尽快到达。
right: 好的，那就拜托你了，我在门口等你。



**",Relevance,打车服务,False,
"音频内容：

left: 您好，我是您的银行客服代表。
left: 我刚刚查到那的账户有异常活动需要立即处理。
left: 以防子资金被盗，您觉得现在方便吗？
right: 哎，你好，我刚刚还问过网页没发现有什么问题。不过还继提请提醒我确实不太懂这些。然后麻烦你帮我查一下具体是什么情况。
left: 好的，为了确保您的账户安全，我们需要谢谢证您的请您提供一下您的身份证号码。
left: 和银行预留的手机号码，我来帮您核实。
right: 嗯嗯嗯，身份证号码和手机号码这个搞的不太方便吧，毕竟这有敏感性，要不你先告诉我具体什么异常，然后我再决定怎么处理。
left: 我理解您的担心。
left: 为了您的账户安全，这是必须的步骤。您的账户在过去的10分钟内有3笔不明转账，总金额达到了5600元。我们怀疑这可能是诈骗吧。
left: 如果您不介意，可以先告诉我。
left: 您的银行预留手机号码，我来帮您进一步确认时间不等人。
left: 我们就需要尽快行动。
right: 3600元，这确实有点吓人。我不作呢我还是有点担心，就是直接提供手机号码，要不我就先打银行的客服电话确认一下，再跟你联系，这样比较保险。
left: 这个情况非常紧急，我建议您不要耽误时间。
left: 如果您坚持的话，可以先拨打银行的官方客服电话确认，但请您一定要尽快。因为一旦转账完成，资金可能就无法追回了。
left: 我在这里等您，您可以随时打回来找我。
left: 我的工号是1230，这个时间紧迫，请您尽快处理。



**",Relevance,咨询客服,True,客服诈骗
"音频内容：

left: 喂，你好，我就在你们那边订了一张明天晚上的桌子，确认一下时间是7点钟，对吧？
right: 你好，是的，明天晚上7点的预定，我们已经记录好了。
left: 太好了，那我大概6点半左右就会到，就是可以提前吗？
right: 可以的，如果你提前到达，我们也会准备好欢迎你的。
left: 那太感谢了哦，对了，我听说你们这里有什么特色菜，可以给我推荐一下吗？
right: 当然可以，我们这里的特色菜有本邦红烧肉、清蒸海鲈鱼，还有招牌炒虾仁，这个都非常受欢迎。
left: 听起来都很不错，我就想试试那个清蒸海鲈鱼，还有那个炒虾仁儿。
right: 好的，我会为你的预定，特别注意这两道菜。
left: 还有一个问题就是我有两个朋友会一起来，他们一个不吃辣，一个不吃海鲜，这会不会有问题？
right: 没问题，我们的菜单上有多种选择可以满足不同口味的需求。不吃辣的客人可以选择本邦红烧肉，不吃海鲜的客人可以尝试我们的清蒸食蔬。
left: 那真是太好了，这样我就放心了，你看见。
right: 您天见，期待您的光临。



**",Relevance,订餐服务,False,
"音频内容：

left: 您好，我是来自某某快递公司的客服。您的包裹在运输过程中遇到了一些问题，需要您配合处理一下。
right: 你好，我是工程师李明。我的包裹出了什么问题，能具体说一下吗？
left: 理工程师您好，您的包裹在海关检查时发现了一些问题，可能涉及到违禁品，需要您支付一笔罚款才能放行。
left: 那为了确保您的包裹能够顺利送达。
left: 我们需要您尽快处理这个问题。
right: 这听起来有点不太对劲，我最近没有寄任何可能涉及违禁品的物品，而且通常海关会直接联系我，而不是通过快递公司。你们能提供具体的海关文件或者联系信息吗？
left: 我理解您的顾虑，但这种情况确实发生了。为了加快处理速度呢，我们通常会直接与收件人联系。您可以提供一下您的姓名和联系方式。我这边可以帮您核实具体情况。如果有必要，我可以帮您联系海关。不过这需要您先支付一笔小额的处理费用，以便我们进行后续的操。
right: 我0代您的意思，但我觉得还是应该先确认一下具体情况。比如说你们能提供一个正式的联系渠道或者官方电话号码吗？这样我可以直接去相关部门确认。然后支付费用之前呢，我需要确保这是一次正规的操作。
left: 我理解您的担心，但按照我们的流程，您需要先支付这笔处理费用，我们才能为您核实具体情况。这主要是为了防止违禁品流入市场。如果您不支付，我们就无法继续处理您的包裹，可能会影响您的收件。那请您理解我们的难处，可以先支付费用。我们马上就为您出。



**",Relevance,咨询客服,True,客服诈骗
"音频内容：

left: 喂，你好，我是小李淘宝客服专员。
right: 你好，有什么事情吗？
left: 我们注意到你前几天在我们店铺购买了一件外套，但是由于物流失误，然后导致你的包裹丢失了。
right: 是吗？那怎么办？
left: 为了补偿你，我们可以提供你双倍的退款，但是需要你点击我们提供的链接，填写一些必要的信息。
right: 好的，那我怎么操作呢？
left: 你只要点击这个链接，提供这个链接，嗯，按照提示操作，然后就可以快速完成退款。
right: 那我需要提供什么信息？
left: 主要是你的银行卡号和验证码，这样我们才能把钱退到你的账户。
right: 好的，我现在就去操作。



**",Relevance,咨询客服,True,客服诈骗
"音频内容：

left: 您好，我是您的银行安全顾问李华。我们发现您的账户呢有异常登录记录，需要立即核实您的身份信息。请问您现在方便？
right: 你好李华，我最近确实没怎么用啊，您但也没收到银行的通知。您能告诉我具体是怎么回事吗？
right: 嗯，我就需要确认一下。
left: 当然可以。
left: 我们发现有人尝试从一个陌生的海外I地址登录您的账户，这很可能是欺诈行为。为了确保您的资金安全，我们需要尽快确认您的身份，请您提供一下您的身份证号码，以便呢我们核实。
right: 这听起来确实很可疑，不过我一般不会随便提供身份证号码。
right: 毕竟这涉及个人隐私。
right: 那你们能不能先给我一个官方的客服电话，我打过去确认一下。
left: 我完全理解您的顾虑，带对了您的账户安全，我们通常不会通过电话提供官方客服电话。因为这可能会被不法分子利用，您可以直接访问官网查询客服电话。现在的话我们先核实您的身份，确保账户安全好。
right: 抱歉，我还是有不放心。
right: 最近新闻也提向上报道这种诈骗手法。
right: 要不这样吧，我直接去银行网点处理，这样更安全一些。谢谢您的好意提醒。



**",Relevance,咨询客服,True,客服诈骗
"音频内容：

left: 客服小张为您服务，有什么问题我可以帮您解决呢？
right: 你好，小张，我最近换了新工作，想了解一下五险一金的具体内容和怎么缴纳，你能帮我解答一下吗？
left: 当然可以，五险一金包括养老保险、医疗保险、失业保险、工伤保险、工伤保生育保险和住房公积金。
left: 这些保险和公积金由您和雇主共同缴纳。
left: 具体比例根据当地政策会有所不同。
left: 那您想了解哪方面的详细信息呢？
right: 谢谢你的解答。
right: 我想了解一下养老保险和医疗保险的具体缴纳比例，还有公积金的使用方法。
left: 好的，养老保险和医疗保险的缴纳比例通常由当地政策规定。一般来说，养老保险个人缴纳比例大约是工资的8%。
left: 单位缴纳比例大约是16%，医疗保险个人缴纳比例约为2%加3元。单位缴纳比例约为9%。至于住房公积金、个人和单位缴纳比例相同，一般在5%到12%之间，具体比例是地区而定公积金主要用于购房贷款、租房、装修等提取和使用，需要满足一定条件，就是您可以登录当地公积金管理中心的网站查询详细信息，希望这些信息对您。有帮助。
right: 明白了，谢谢你的详细解答。我再具体查一下我们这里的政策。
right: 然后还有就是如果我离职了，这些保险和公积金会怎么处理？
left: 那如果您离职了五险一金的缴纳，就会暂时停止。在找到新工作之前，您可以选择个人继续缴纳社会保险，确保连续性对于住房公积金。如果您的账户余额较高，且近期有使用需求，就可以申请提取。如果您找到新工作，新单位就会继续为您缴纳五险一金，之前的缴纳记录会自动累计。如果还有其他疑问，欢迎随时咨询。
right: 谢谢你的帮助，我会有一些事项的。
right: 如果有其他问题的话，我会再联系你。
left: 很高兴能帮到您。如果还有其他问题随时欢迎咨询，祝您工作顺利，生活愉快，再见。
right: So.
right: 祝你一切顺利。



**",Factual Authenticity / Truthfulness,咨询客服,False,
"音频内容：

left: 喂，你好，这里是苏贷宝客服中心，我是客服经理小李。我们注意到您的信用记录非常优秀，想邀请您申请我们的低息贷款服务，不需要任何抵押，审批快速，那您感兴趣吗？
right: 哦，真的吗？那听起来挺不错的，我是有这个资金需求。
left: 嗯，太好了。
left: 我们正好可以帮到您。不过，为了确保您的信息准确，无误，能否麻烦您提供一下您的身份证号码和银行卡信息，我们会在后台进行审核。
right: 就是这样，那我怎么知道你们是真的？
left: 可以WUDAIIBO然后COM进行核实，也可以直接在应用商店下载我们的官方APT所有信息一目了然。
right: 那好吧，那我试试看。
left: 好的，为了简化这个流程，您可以先点击这个链接HTPSUDAAIBAOCOMAPALY然后填写相关信息。
left: 我们的客服人员会尽快为您处理。
right: 好的，我那就就其实。
left: 非常感谢您的配合。
left: 如果在操作过程中遇到任何问题，都可以随时联系我们，祝您一切顺利吧。
right: 谢谢再见。
left: 再见，期待与您的再次合作。



**",Relevance,咨询客服,True,客服诈骗
"音频内容：

left: 喂，你好，我是小明。我刚才看到你们店的外卖在考虑要订餐，想咨询一下。
right: 您好，我是外卖平台的小张，有什么我可以帮您的吗？
left: 我想知道你们的招牌炒饭里面都放了些什么材料。
right: 我们的招牌炒饭里面包含了鸡蛋、火腿、青豆和胡萝卜，还有秘制的调味料，非常受顾客欢迎。
left: 经你这么一说，还真有点想尝尝。那你们的配送时间大概多久呢？
right: 一般情况下，我们从接单到送达的时间大概是35分钟左右，具体时间还要看您所在的位置。
left: 好的，那我订一份招牌炒饭，还有一瓶冰红茶，你帮我算算多少钱。
right: 好的，一份招牌炒饭是20元，一瓶冰红茶是5元，总共是25元。
left: 这我确认下单，你们快点送过来吧，我等不及想吃了。
right: 好，的您的订单已经确认，我们会尽快为您配送，祝您用餐愉快。



**",Factual Authenticity / Truthfulness,外卖服务,False,
"音频内容：

left: 喂，你好，客服专员。
right: 你好有什么可以帮助你的吗？
left: 我想咨询一下你们新推出的智能手表，这个能详细介绍一下吗？
right: 当然可以，这款智能手表支持健康监测消息通知、运动记录等功能，还有多种表盘样匙可以选择。
left: 听起来不错。
left: 这款手表的电池续航时间是多长？
right: 这款手表的电池续航时间大约为一周，如果频繁使用某些功能的话，可能会稍微短一些。
left: 哦，然后那我现在下单的话，什么时候能送到？
right: 如果你现在下单的话，我们会在24小时内发货。一般情况下，3到5天内就可以送达。
left: 好的，那这款手表的价格是多？
right: 这款智能手表的售价是999元，现在购买还可以享受100元的优惠。
left: 那我就下单了，谢谢你的详细介绍。
right: 不客气，有任何问题随时联系我们，祝你购物愉快。



**",Factual Authenticity / Truthfulness,日常购物,False,
"音频内容：

left: 位，你好，我是小明。
left: 我在你们网站上看到有一款智能鼠标想了解一下。
right: 你好，小明，我是客服小张，有什么我可以帮你的？
left: 我想知道这款手表的电池续航时间是多少？
right: 这款智能手表的电池续航时间大约是一周，正常使用下，不需要频繁充电。
left: 那这款手表支持哪些健康监测功能呢？
right: 他支持心率监测、血压监测、睡眠质量分析以及步数统计等多种健康监测功能。
left: 听起来不错，我最近正好需要一个这样的手表，可以告诉我价格吗？
right: 这款手表目前的售价是999元，我们还有限时优惠活动，你可以到网站上查看详细信息。
left: 好的，谢谢你的帮助。
left: 我还想问一下，就你们的这个配送时间大概需要多久？
right: 我们通常在下单后的24小时内发货。一般情况下，国内大多数地区的配送时间是3到5天。



**",Factual Authenticity / Truthfulness,日常购物,False,
"音频内容：

left: 欢迎使用我们的外卖服务，我可以帮您点餐或解答任何疑问。
right: 谢谢。不过我不太用力些情况我主要是自己做饭，偶尔去镇上的小店买点食的。你们觉得这服务挺好的，年轻人应该会喜欢。
left: 感谢您使用我们的外卖服务。如果您有任何其他需求或问题，欢迎随时联系我们，祝您用餐愉快。
right: 好的，谢谢你们。



**",Factual Authenticity / Truthfulness,外卖服务,False,
"音频内容：

left: 喂，你好，我是小区物业的客服。最近我们收到一些反馈，说小区的水压有点不稳定，想了解一下你家的情况怎么样？
right: 你好，我这边还好没怎么注意过这个问题。
left: 那太好了。不过为了确保每个住户都能正常使用，我们还是想做一些检查，你看什么时候方便我们的维修师傅就去你家看看。
right: 可以，你们什么时候来都行。
left: 好的，那我们预约就是在明天上午10点左右，这样可以吗？
right: 行，那十点可以。
left: 那麻烦你到时候在家等一下，我们会准时到达。如果有什么变动，我会提前联系你。
right: 好的，谢谢你们。
left: 不客气，这是我们应该做的。如果有其他问题随时可以联系我们。



**",Factual Authenticity / Truthfulness,预约服务,False,
"音频内容：

left: 我是您的打车服务助手，有什么可以帮您的？
right: 你好，我就想了解一下附近有哪些打车选项。



**",Factual Authenticity / Truthfulness,打车服务,False,
"音频内容：

left: 您好，这里是国际快递公司客服中心。您的包裹在海关检查时发现了一笔意外的现金，需要您支付一笔税费才能放行。请您提供一下您的姓名和联系方式，以便我们为您处理。
right: 你好，我最近确实有收到一个包裹，但里面应该没有现金吧。你们怎么会发现现金的呢？
right: 听起来有点奇怪。



**",Relevance,咨询客服,True,客服诈骗
"音频内容：

left: 魏先生，我是您的邻居李阿姨的子小张，我打个电话给您，是因为我妈妈出事了，现在需要您帮忙。
right: 小张，你妈妈怎么了？出什么事情了，我这就过去看看。
left: 年先别过了，就是这个事情有点复杂。然后我妈妈现在被几个坏人扣住了，就是他们是要求我们支付一笔赎金，不然就不放人。
left: 然后您能帮我先筹点钱吗？嗯，我实在是没有办法。
right: 哎呀，这可怎么办？你妈妈真的被扣住了，那个需要多少钱，那个我看看能不能帮上忙。
left: 他们要求我们支付5万块，那您能帮帮忙吗？时间不多了，他们说，如果一个小时之内不把钱准备好，就会对我妈妈不利。
right: 5万块，这可不是小数目，我得想想办法，你先别急，我看看能不能从银行取认钱出来，等我消息，我尽快给你回话。
left: 您快点吧，带着您了，我在这里等您的消息，我妈妈的安全就靠您了。
left: 时间不多了，您一个少快点。



**",Clarity,咨询客服,True,绑架诈骗
"音频内容：

left: 喂，你好，我是建设银行信贷中心的小李。最近呢我们开展了一个特别优惠的贷款活动，可以为你提供30万元的贷款，年利率只有4.5%。你有兴趣大概了解一下吗？
right: 你好，我现在手头的资金还算充裕。不过你可以先跟我介绍一下这个贷款的具体情况。
left: 可以，这个贷款是专门针对优质客户的，你只需要提供身份证和身入证明。审核通过后，最快当天就可以放款。为了方便你了解更多详情，我觉得这里有一个链接，你点击之后就能看到详细的贷款信息和申请流程。
right: 好的，我怎么获取这个链接呢？
left: 你可以加我的私人微信号，我直接发给你，这样更方便。我的微信号是LX8888888，加了之后，记得备注一下名字。
right: 我这就加你微信。
left: 太好了，发了之后我就会立刻发电一接链接，有任何问题都可以直接咨询我。然后为了保障你的信息安全，我们这个链接是加密的，然后只在微信上有效。
right: 好的，谢谢你的帮助。
right: 我加完微信就等你的消息了。
left: 不客气，有任何问题随时联系我，祝你一切顺利。



**",Relevance,咨询客服,True,银行诈骗
"音频内容：

left: 您好，这里是XX银行客服中心。我们检测到您的账户有异常活动。为了您的资金安全，请您提供一下身份证号码，我们需要进行身份验证。
right: 哦，是这样，不过我记得前两天刚收到你们银行的短信提醒。
right: 说最近有人冒充银行诈骗，你们真的是那个SS银行的那个客服吗？
left: 理解您的担心，但请放心，我们确实是XX银行的客服。您可以查看我们这个来电显示的号码是银行官方客服热线。为了您的安全，我们现在正在进行安全验证，所以需要您配合提供一些信息。
right: 嗯嗯，看看你们的来电显示是不是银行的官方号码。
right: 等一下，我就对去查。对了，你们能告诉我具体是什么异常活动吗？这样我也可以确认一下。
left: 先生情况很紧急，您的账户涉嫌参与了境外非法交易，需要立即冻结处理。
left: 如果您不及时提供身份信息，那可能会造成重大财产损失。请您尽快配合我们，否则的话后果自负。
right: 这听起来真的很严重，但我还是有点担心。你们能告诉我具体的交易详情吗？比如交易时间、金额和对方账户信息，这样我也可以核对一下。
left: 先生由于涉及敏感信息，我们无法在电话中详细说明。但现在系统显示您账户的异常指数正在快速上升，建议您立即提供身份证号码和银行卡号，我们才能帮您进行账户保护操作。晚一付五可能会造成不可挽回的损失。
right: 我理解您的担心，但这么重要的信息，我还是需要谨慎处理。你们给我一些时间，让我先和家人商量一下嘛。毕竟这种事儿涉及我的财产安全，我觉得也深重考虑。
left: 先生情况非常危急，您每拖延一分钟，您的账户就多一分风险。我们理解您的顾虑，但请您相信我们，这是为了您的财产安全。如果您实在有疑虑的话，可以稍后让家人直接回拨我们银行的官方客服电话进行确认。但现在请您先提供身份证号码，我们好立即处理。不然这个后果我们就无法负责。
right: 谢谢您的提醒，但我还是觉得不太对劲。我记得银行好像说过，不会在电话里要求提供这么详细的个人信息，就这样吧，我先挂电话，然后直接去银行柜台处理，这样就可以吗？
left: 先生看来，您对我们还是不太信任。
left: 这样吧，您可以先记下我们的工号，稍后再拨打官方客服热线确认。
left: 再请您尽快处理。因为您的账户风险正在增加，我们稍后会再联系您，希望到时候您能配合我们完成安全验证，再见。
right: 好的，我会计算你们的工号，然后自去银行确认一下，谢谢您的提醒再见。



**",Relevance,咨询客服,True,银行诈骗
"音频内容：

left: 喂，你好，是李华吗？
right: 就是我哎哎你好。
left: 我是天猫客服专员，我这里看到你之前购买的商品有质量问题，然后我们准备给你退款。
right: 哦，真的吗？那太好了，之前那个东西确实有问题。
left: 没错，为了方便处理退款，我们需要你提供一下银行卡号和验证码。
right: 好的，我觉得那这就给你发。
left: 非常感谢。为了加快退款速度，我们建议你下载我们的官方APP里面可以直接申请退款，然后操作更便捷。
right: 下载APP吗？那我怎么知道这是官方的？
left: 我们是正规渠道，你可以通过短信中的链接下载，绝对安全。
right: 好的，我试试看吧。
right: 谢谢你的帮。



**",Relevance,咨询客服,True,客服诈骗
